post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link,Date,Time
1.02E+16,"The Department of Veterans Affairs is legally designated as the backup health system in the U.S. It is preparing to absorb the overflow of coronavirus patients from private hospitals if — or when — they become strained to the breaking point.
NYTIMES.COM
The V.A. Prepares to Back Up a Health Care System Threatened by Coronavirus",The Department of Veterans Affairs is legally designated as the backup health system in the U.S. It is preparing to absorb the overflow of coronavirus patients from private hospitals if — or when — they become strained to the breaking point.,"NYTIMES.COM
The V.A. Prepares to Back Up a Health Care System Threatened by Coronavirus",16-03-2020 17:55,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQDtRZxyql5OwG4N&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fus%2Fpolitics%2F15dc-virus-va-pix%2F15dc-virus-va-pix-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQAG4n3iSVoZKq4P,801,96,582,https://m.facebook.com/story.php?story_fbid=10152231761449999&id=5281959998,https://nyti.ms/2Wi7Ae6,16-03-2020,17:55:03
1.02E+16,"“Our lives are all changing in ways that were unimaginable just a week ago.""
NYTIMES.COM
Coronavirus in N.Y.C.: Schools, Restaurants and Bars Are Shut Down","“Our lives are all changing in ways that were unimaginable just a week ago.""","NYTIMES.COM
Coronavirus in N.Y.C.: Schools, Restaurants and Bars Are Shut Down",16-03-2020 17:25,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQBeJjEIMEUQShYK&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F16%2Fnyregion%2F16nyvirus-les-2%2Fmerlin_170496525_1f74274e-a4bc-4625-a7f0-90f7a24e3e59-facebookJumbo.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQCMWTRkhB2yZXhL,893,127,242,https://m.facebook.com/story.php?story_fbid=10152231733129999&id=5281959998,https://nyti.ms/3aVHrG4,16-03-2020,17:25:05
1.02E+16,"The coronavirus presents an unprecedented disruption to the global supply chain — and global markets. Listen to today's episode of ""The Daily.""
NYTIMES.COM
Why This Recession Will Be Different","The coronavirus presents an unprecedented disruption to the global supply chain — and global markets. Listen to today's episode of ""The Daily.""","NYTIMES.COM
Why This Recession Will Be Different",16-03-2020 17:10,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQBhAY0b-gqHKRwW&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fbusiness%2F15virus-briefing-fed-promo%2F15virus-briefing-fed-promo-facebookJumbo-v2.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBPP5qinuGAJW_T,259,46,152,https://m.facebook.com/story.php?story_fbid=10152231718394999&id=5281959998,https://nyti.ms/39PA2rL,16-03-2020,17:10:05
1.02E+16,"Here's who veteran campaign strategists, consultants and analysts say won tonight's Democratic debate.
NYTIMES.COM
How Did Biden and Sanders Do in the Debate? Experts Weigh In","Here's who veteran campaign strategists, consultants and analysts say won tonight's Democratic debate.","NYTIMES.COM
How Did Biden and Sanders Do in the Debate? Experts Weigh In",16-03-2020 16:55,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQCpqr7AOZkarhNJ&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fus%2Fpolitics%2F15who-won%2F15who-won-facebookJumbo.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQCrJZJ2JzJQudn0,142,168,10,https://m.facebook.com/story.php?story_fbid=10152231703134999&id=5281959998,https://nyti.ms/2UdJuOW,16-03-2020,16:55:08
1.02E+16,"Catch up on the highlights from Sunday night's Democratic debate — in just 3 minutes.
NYTIMES.COM
Watch: Biden and Sanders Clash in Democratic Debate",Catch up on the highlights from Sunday night's Democratic debate — in just 3 minutes.,"NYTIMES.COM
Watch: Biden and Sanders Clash in Democratic Debate",16-03-2020 16:40,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQAsNi02rxSJZf6m&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fus%2Fpolitics%2F15debate-ledeall-top%2F15debate-ledeall-top-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1049&sh=549&ext=jpg&_nc_hash=AQAq-OHTfn_XDanp,202,94,12,https://m.facebook.com/story.php?story_fbid=10152231690509999&id=5281959998,https://nyti.ms/2vsNJ0W,16-03-2020,16:40:09
1.02E+16,"News Analysis: In their first one-on-one debate, destined to be unusual for its context, Joe Biden and Bernie Sanders set off on a strikingly punchy evening, illustrating the distance between them — not just because of how far apart their podiums were.
NYTIMES.COM
Biden and Sanders Assume Fighting Stances, a Healthy 6 Feet Apart","News Analysis: In their first one-on-one debate, destined to be unusual for its context, Joe Biden and Bernie Sanders set off on a strikingly punchy evening, illustrating the distance between them — not just because of how far apart their podiums were.","NYTIMES.COM
Biden and Sanders Assume Fighting Stances, a Healthy 6 Feet Apart",16-03-2020 16:25,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQALXbZ5SZIAtC31&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fus%2Fpolitics%2F15debate-assess1%2F15debate-assess1-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQDXXn-FtQONWFwy,214,71,9,https://m.facebook.com/story.php?story_fbid=10152231675539999&id=5281959998,https://nyti.ms/2x2NAS0,16-03-2020,16:25:11
1.02E+16,"Throughout his insurgent campaign, Bernie Sanders emained steadfast in his vision — and forced a reckoning for the Democratic Party. Robert Draper profiles the presidential candidate for The New York Times Magazine.
NYTIMES.COM
Did America Misjudge Bernie Sanders? Or Did He Misjudge America?","Throughout his insurgent campaign, Bernie Sanders emained steadfast in his vision — and forced a reckoning for the Democratic Party. Robert Draper profiles the presidential candidate for The New York Times Magazine.","NYTIMES.COM
Did America Misjudge Bernie Sanders? Or Did He Misjudge America?",16-03-2020 16:10,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQAJCffde6rHGIUP&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F22%2Fmagazine%2F22mag-sanders3%2F22mag-sanders3-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQA9n4IFQyTXZd4l,806,514,81,https://m.facebook.com/story.php?story_fbid=10152231662424999&id=5281959998,https://nyti.ms/2TQOIBg,16-03-2020,16:10:05
1.02E+16,"In Sunday's presidential debate, former Vice President Joe Biden and Senator Bernie Sanders clashed over how to handle health care during the coronavirus crisis.
NYTIMES.COM
Six Takeaways From the March Democratic Debate","In Sunday's presidential debate, former Vice President Joe Biden and Senator Bernie Sanders clashed over how to handle health care during the coronavirus crisis.","NYTIMES.COM
Six Takeaways From the March Democratic Debate",16-03-2020 15:55,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQDbJWfLwoUcAutX&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fus%2Fpolitics%2F15debate-takeaways1%2F15debate-ledeall1-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQDIxhFPAenDTssl,381,125,37,https://m.facebook.com/story.php?story_fbid=10152231649669999&id=5281959998,https://nyti.ms/3b0Nf0S,16-03-2020,15:55:07
1.02E+16,"In The New York Times Opinion Section, David Leonhardt writes, ""I’ve reviewed all of his public statements and actions on coronavirus over the last two months, and they show a president who put almost no priority on public health.""
NYTIMES.COM
Opinion | A Complete List of Trump’s Attempts to Play Down Coronavirus","In The New York Times Opinion Section, David Leonhardt writes, ""I’ve reviewed all of his public statements and actions on coronavirus over the last two months, and they show a president who put almost no priority on public health.""","NYTIMES.COM
Opinion | A Complete List of Trump’s Attempts to Play Down Coronavirus",16-03-2020 15:25,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQBKO5RXSXWImVZT&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F16%2Fopinion%2F15Leonhardt-1%2F15Leonhardt-1-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1049&sh=549&ext=jpg&_nc_hash=AQDsPWM-DvsdFoYj,3176,795,3036,https://m.facebook.com/story.php?story_fbid=10152231628799999&id=5281959998,https://nyti.ms/33jRZMw,16-03-2020,15:25:07
1.02E+16,"“We are all in the same boat now.”
NYTIMES.COM
Spain, on Lockdown, Weighs Liberties Against Containing Coronavirus",“We are all in the same boat now.”,"NYTIMES.COM
Spain, on Lockdown, Weighs Liberties Against Containing Coronavirus",16-03-2020 14:40,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQBVr94tblHHiZRw&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fworld%2F15virus-spain1%2F15virus-spain1-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQBkKeaf2rouD1R-,278,41,53,https://m.facebook.com/story.php?story_fbid=10152231609649999&id=5281959998,https://nyti.ms/2IPeMqe,16-03-2020,14:40:04
